amount,consumer_id,http_code,left_in_stock,merchant_id,offer_id,price,product_id,quality,timestamp,uid
1,+h9wEzBQmKzSOxGE8SX8unXJ1Hseybidgzd8n8J5Bs0=,200,0,79n7kjGj4f5IgYHHsn/1vM48wtups6ZgzthW+tZS+Sg=,4722,8.0,1,4,2017-09-05T15:32:23.957Z,14
1,+h9wEzBQmKzSOxGE8SX8unXJ1Hseybidgzd8n8J5Bs0=,200,4,79n7kjGj4f5IgYHHsn/1vM48wtups6ZgzthW+tZS+Sg=,4709,30.24,1,1,2017-09-05T15:32:40.352Z,11
1,+h9wEzBQmKzSOxGE8SX8unXJ1Hseybidgzd8n8J5Bs0=,200,0,79n7kjGj4f5IgYHHsn/1vM48wtups6ZgzthW+tZS+Sg=,4723,26.96,1,3,2017-09-05T15:32:41.667Z,13
1,+h9wEzBQmKzSOxGE8SX8unXJ1Hseybidgzd8n8J5Bs0=,200,4,79n7kjGj4f5IgYHHsn/1vM48wtups6ZgzthW+tZS+Sg=,4712,12.8,1,2,2017-09-05T15:32:49.886Z,12
1,+h9wEzBQmKzSOxGE8SX8unXJ1Hseybidgzd8n8J5Bs0=,200,0,79n7kjGj4f5IgYHHsn/1vM48wtups6ZgzthW+tZS+Sg=,4724,16.96,1,4,2017-09-05T15:32:51.817Z,14
1,+h9wEzBQmKzSOxGE8SX8unXJ1Hseybidgzd8n8J5Bs0=,200,0,79n7kjGj4f5IgYHHsn/1vM48wtups6ZgzthW+tZS+Sg=,4725,12.45,1,3,2017-09-05T15:32:53.994Z,13
1,+h9wEzBQmKzSOxGE8SX8unXJ1Hseybidgzd8n8J5Bs0=,200,4,79n7kjGj4f5IgYHHsn/1vM48wtups6ZgzthW+tZS+Sg=,4712,22.3,1,2,2017-09-05T15:33:05.169Z,12
1,+h9wEzBQmKzSOxGE8SX8unXJ1Hseybidgzd8n8J5Bs0=,200,0,79n7kjGj4f5IgYHHsn/1vM48wtups6ZgzthW+tZS+Sg=,4726,18.58,1,3,2017-09-05T15:33:09.221Z,13
1,+h9wEzBQmKzSOxGE8SX8unXJ1Hseybidgzd8n8J5Bs0=,200,0,79n7kjGj4f5IgYHHsn/1vM48wtups6ZgzthW+tZS+Sg=,4727,13.8,1,3,2017-09-05T15:33:13.818Z,13
1,+h9wEzBQmKzSOxGE8SX8unXJ1Hseybidgzd8n8J5Bs0=,200,3,79n7kjGj4f5IgYHHsn/1vM48wtups6ZgzthW+tZS+Sg=,4709,20.2,1,1,2017-09-05T15:33:15.586Z,11
1,+h9wEzBQmKzSOxGE8SX8unXJ1Hseybidgzd8n8J5Bs0=,200,0,79n7kjGj4f5IgYHHsn/1vM48wtups6ZgzthW+tZS+Sg=,4729,10.49,1,4,2017-09-05T15:33:25.196Z,14
1,+h9wEzBQmKzSOxGE8SX8unXJ1Hseybidgzd8n8J5Bs0=,200,0,79n7kjGj4f5IgYHHsn/1vM48wtups6ZgzthW+tZS+Sg=,4728,13.17,1,3,2017-09-05T15:33:30.016Z,13
1,+h9wEzBQmKzSOxGE8SX8unXJ1Hseybidgzd8n8J5Bs0=,200,0,79n7kjGj4f5IgYHHsn/1vM48wtups6ZgzthW+tZS+Sg=,4730,8.56,1,4,2017-09-05T15:33:33.254Z,14
1,+h9wEzBQmKzSOxGE8SX8unXJ1Hseybidgzd8n8J5Bs0=,200,1,79n7kjGj4f5IgYHHsn/1vM48wtups6ZgzthW+tZS+Sg=,4728,9.49,1,3,2017-09-05T15:33:37.679Z,13
1,+h9wEzBQmKzSOxGE8SX8unXJ1Hseybidgzd8n8J5Bs0=,409,0,79n7kjGj4f5IgYHHsn/1vM48wtups6ZgzthW+tZS+Sg=,4728,12.2,1,3,2017-09-05T15:33:49.856Z,13
1,+h9wEzBQmKzSOxGE8SX8unXJ1Hseybidgzd8n8J5Bs0=,200,4,79n7kjGj4f5IgYHHsn/1vM48wtups6ZgzthW+tZS+Sg=,4712,30.73,1,2,2017-09-05T15:33:56.688Z,12
1,+h9wEzBQmKzSOxGE8SX8unXJ1Hseybidgzd8n8J5Bs0=,200,0,79n7kjGj4f5IgYHHsn/1vM48wtups6ZgzthW+tZS+Sg=,4728,21.19,1,3,2017-09-05T15:34:00.179Z,13
1,+h9wEzBQmKzSOxGE8SX8unXJ1Hseybidgzd8n8J5Bs0=,200,5,79n7kjGj4f5IgYHHsn/1vM48wtups6ZgzthW+tZS+Sg=,4709,44.94,1,1,2017-09-05T15:34:30.510Z,11
1,+h9wEzBQmKzSOxGE8SX8unXJ1Hseybidgzd8n8J5Bs0=,200,0,79n7kjGj4f5IgYHHsn/1vM48wtups6ZgzthW+tZS+Sg=,4731,7.13,1,4,2017-09-05T15:34:39.313Z,14
1,+h9wEzBQmKzSOxGE8SX8unXJ1Hseybidgzd8n8J5Bs0=,200,3,79n7kjGj4f5IgYHHsn/1vM48wtups6ZgzthW+tZS+Sg=,4712,30.37,1,2,2017-09-05T15:34:45.465Z,12
